,facet,anchor,stem,cosine_similarity,drift_flag,length_flag
323,I aim for challenging goals.,Achievement Focus,I concentrate on realizing my goals.,0.5114567,1,0
324,I aim for challenging goals.,Achievement Focus,I am intent on achieving my objectives.,0.42574513,1,0
325,I stick to a task until done.,Discipline,I follow a structured routine every day.,0.23781759,1,0
326,I stick to a task until done.,Discipline,I manage my time effectively to achieve my goals.,0.34003937,1,0
327,I stick to a task until done.,Discipline,I set clear rules for myself to stay organized.,0.2912085,1,0
328,I stick to a task until done.,Discipline,I maintain focus on my tasks throughout the day.,0.2652357,1,0
329,I stick to a task until done.,Discipline,I work steadily to complete my assignments on time.,0.29143116,1,0
330,I stick to a task until done.,Discipline,I adhere to my schedule to be productive.,0.29380298,1,0
331,I stick to a task until done.,Discipline,I organize my work environment for better efficiency.,0.23621449,1,0
332,I stick to a task until done.,Discipline,I prioritize tasks to ensure timely completion.,0.265804,1,0
333,I stick to a task until done.,Discipline,I stick to my plan to achieve success.,0.36916214,1,0
334,I stick to a task until done.,Discipline,I balance my activities to ensure progress.,0.41458827,1,0
335,I stick to a task until done.,Discipline,I practice self-control in my daily habits.,0.4576082,1,0
336,I stick to a task until done.,Discipline,I keep my workspace tidy and functional.,0.15534182,1,0
337,I stick to a task until done.,Discipline,I allocate my time wisely to meet my objectives.,0.331003,1,0
338,I stick to a task until done.,Discipline,I ensure consistency in my work approach.,0.39750594,1,0
339,I stick to a task until done.,Discipline,I use a planner to track my tasks.,0.12443241,1,0
340,I stick to a task until done.,Discipline,I follow through with my commitments diligently.,0.449911,1,0
341,I stick to a task until done.,Discipline,I establish a routine to manage my day effectively.,0.33928186,1,0
342,I stick to a task until done.,Discipline,I dedicate time to each task as planned.,0.26829872,1,0
343,I stick to a task until done.,Discipline,I stay committed to my personal goals.,0.3840178,1,0
344,I stick to a task until done.,Discipline,I apply effort consistently to improve my skills.,0.48097366,1,0
345,I stick to a task until done.,Discipline,I keep a checklist to monitor my progress.,0.27318066,1,0
346,I stick to a task until done.,Discipline,I focus on completing projects step by step.,0.19956088,1,0
347,I stick to a task until done.,Discipline,I approach my responsibilities with determination.,0.44604382,1,0
348,I stick to a task until done.,Discipline,I hold myself accountable for my daily actions.,0.3357088,1,0
349,I stick to a task until done.,Discipline,I execute my plans with precision.,0.28056148,1,0
350,I adjust plans when things change.,Adaptable Execution,I adjust my actions to different situations.,0.35186672,1,0
351,I adjust plans when things change.,Adaptable Execution,I carry out tasks flexibly.,0.29994106,1,0
352,I adjust plans when things change.,Adaptable Execution,I handle changes smoothly in my work.,0.28897384,1,0
353,I adjust plans when things change.,Adaptable Execution,I adapt my methods to suit the situation.,0.3993368,1,0
354,I adjust plans when things change.,Adaptable Execution,I modify my approach as needed.,0.3018186,1,0
355,I adjust plans when things change.,Adaptable Execution,I perform tasks with flexibility.,0.33543423,1,0
356,I adjust plans when things change.,Adaptable Execution,I adjust my execution based on circumstances.,0.50949544,1,0
357,I adjust plans when things change.,Adaptable Execution,I alter my actions to fit the context.,0.2969318,1,0
358,I adjust plans when things change.,Adaptable Execution,I change my methods to match the situation.,0.27770793,1,0
359,I adjust plans when things change.,Adaptable Execution,I implement plans with adaptability.,0.5362951,1,0
360,I adjust plans when things change.,Adaptable Execution,I tailor my actions to different conditions.,0.39786303,1,0
361,I adjust plans when things change.,Adaptable Execution,I adapt my strategies during tasks.,0.38529354,1,0
362,I adjust plans when things change.,Adaptable Execution,I execute tasks with an adaptable mindset.,0.5372514,1,0
363,I adjust plans when things change.,Adaptable Execution,I adjust my way of working to new situations.,0.2939752,1,0
364,I adjust plans when things change.,Adaptable Execution,I handle tasks with adaptability.,0.49960464,1,0
365,I adjust plans when things change.,Adaptable Execution,I modify my execution to suit different needs.,0.60475767,1,0
366,I adjust plans when things change.,Adaptable Execution,I change my approach to fit new challenges.,0.3008508,1,0
367,I adjust plans when things change.,Adaptable Execution,I adapt my execution style to the situation.,0.4065513,1,0
368,I adjust plans when things change.,Adaptable Execution,I perform my tasks with adaptability in mind.,0.46931067,1,0
369,I adjust plans when things change.,Adaptable Execution,I tailor my execution to varying situations.,0.5189841,1,0
370,I adjust plans when things change.,Adaptable Execution,I adapt my work methods as needed.,0.4009229,1,0
371,I adjust plans when things change.,Adaptable Execution,I adjust my task execution to different environments.,0.47973278,1,0
372,I adjust plans when things change.,Adaptable Execution,I change my execution strategy depending on the situation.,0.47740117,1,0
373,I adjust plans when things change.,Adaptable Execution,I perform my duties with flexibility.,0.30674842,1,0
374,I adjust plans when things change.,Adaptable Execution,I adapt my approach to different tasks.,0.41169864,1,0
375,I bounce back after setbacks.,Resilience,I handle problems in my life calmly.,0.28736162,1,0
376,I bounce back after setbacks.,Resilience,I bounce back from difficult situations.,0.5340958,1,0
377,I bounce back after setbacks.,Resilience,I stay strong when things are tough.,0.4853257,1,0
378,I bounce back after setbacks.,Resilience,I face challenges with a positive attitude.,0.39186037,1,0
379,I bounce back after setbacks.,Resilience,I keep going even when it's hard.,0.32918695,1,0
380,I bounce back after setbacks.,Resilience,I recover quickly from setbacks.,0.46050853,1,0
381,I bounce back after setbacks.,Resilience,I cope well with stress.,0.36187804,1,0
382,I bounce back after setbacks.,Resilience,I find solutions when I encounter difficulties.,0.29636246,1,0
383,I bounce back after setbacks.,Resilience,I maintain my strength through challenges.,0.54831004,1,0
384,I bounce back after setbacks.,Resilience,I stay positive during hard times.,0.4536213,1,0
385,I bounce back after setbacks.,Resilience,I adapt well to changes in life.,0.32287174,1,0
386,I bounce back after setbacks.,Resilience,I overcome obstacles effectively.,0.4316643,1,0
387,I bounce back after setbacks.,Resilience,I endure through difficult times.,0.48642236,1,0
388,I bounce back after setbacks.,Resilience,I stay hopeful when faced with problems.,0.40483364,1,0
389,I bounce back after setbacks.,Resilience,I manage to stay calm under pressure.,0.3220533,1,0
390,I bounce back after setbacks.,Resilience,I deal with adversity with strength.,0.5647663,1,0
391,I bounce back after setbacks.,Resilience,I stay determined during tough situations.,0.45049173,1,0
392,I bounce back after setbacks.,Resilience,I keep my composure in challenging times.,0.47143173,1,0
393,I bounce back after setbacks.,Resilience,I look for the good in difficult situations.,0.32056034,1,0
394,I bounce back after setbacks.,Resilience,I stay optimistic despite challenges.,0.45155907,1,0
395,I bounce back after setbacks.,Resilience,I approach problems with resilience.,0.72604525,1,0
396,I bounce back after setbacks.,Resilience,I maintain a positive outlook during hardships.,0.46930966,1,0
397,I bounce back after setbacks.,Resilience,I find ways to overcome difficulties.,0.4373666,1,0
398,I bounce back after setbacks.,Resilience,I persevere through life's challenges.,0.4791054,1,0
399,I bounce back after setbacks.,Resilience,I stay focused when things get tough.,0.42515814,1,0
400,I act without being told.,Initiative,I take the first step in new projects.,0.4528033,1,0
401,I act without being told.,Initiative,I start tasks without waiting for others.,0.40098876,1,0
402,I act without being told.,Initiative,I like to begin new activities.,0.33947587,1,0
403,I act without being told.,Initiative,I enjoy taking charge of situations.,0.36948395,1,0
404,I act without being told.,Initiative,I lead when there is a need to act.,0.40234995,1,0
405,I act without being told.,Initiative,I am the first to try new things.,0.34988922,1,0
406,I act without being told.,Initiative,I set plans in motion by myself.,0.38246828,1,0
407,I act without being told.,Initiative,I start working on ideas without prompting.,0.36584607,1,0
408,I act without being told.,Initiative,I begin tasks without being told.,0.31049997,1,0
409,I act without being told.,Initiative,I feel motivated to start new ventures.,0.37659383,1,0
410,I act without being told.,Initiative,I kick off projects on my own.,0.37865472,1,0
411,I act without being told.,Initiative,I take action without waiting for others.,0.47881144,1,0
412,I act without being told.,Initiative,I am proactive in starting tasks.,0.4726807,1,0
413,I act without being told.,Initiative,I start new tasks when I see an opportunity.,0.3812871,1,0
414,I act without being told.,Initiative,I begin projects without hesitation.,0.42971638,1,0
415,I act without being told.,Initiative,I make the first move in group activities.,0.3453582,1,0
416,I act without being told.,Initiative,I initiate tasks to get things going.,0.487288,1,0
417,I act without being told.,Initiative,I am eager to start new plans.,0.36202067,1,0
418,I act without being told.,Initiative,I take the lead in starting new things.,0.44934356,1,0
419,I act without being told.,Initiative,I begin activities when I have a chance.,0.32680786,1,0
420,I act without being told.,Initiative,I motivate myself to begin projects.,0.38078812,1,0
421,I act without being told.,Initiative,I take the first step in trying something new.,0.35500237,1,0
422,I act without being told.,Initiative,I start new assignments on my own.,0.34518307,1,0
423,I act without being told.,Initiative,I like to kick-start projects.,0.4035988,1,0
424,I act without being told.,Initiative,I begin working on ideas independently.,0.44314605,1,0
425,I finish tasks in less time.,Efficiency,I work quickly to get my tasks done.,0.37295735,1,0
426,I finish tasks in less time.,Efficiency,I complete my work with minimal effort.,0.3455471,1,0
427,I finish tasks in less time.,Efficiency,I use my resources effectively.,0.39841896,1,0
428,I finish tasks in less time.,Efficiency,I achieve my goals with little wasted time.,0.39772734,1,0
429,I finish tasks in less time.,Efficiency,I focus on doing things productively.,0.29791665,1,0
430,I finish tasks in less time.,Efficiency,I manage my time well to finish tasks.,0.270593,1,0
431,I finish tasks in less time.,Efficiency,I prioritize my tasks to maximize output.,0.379158,1,0
432,I finish tasks in less time.,Efficiency,I organize my day for high productivity.,0.33080488,1,0
433,I finish tasks in less time.,Efficiency,I use my skills to improve work results.,0.31495735,1,0
434,I finish tasks in less time.,Efficiency,I find the best way to complete my work.,0.27035612,1,0
435,I finish tasks in less time.,Efficiency,I aim to accomplish much with little effort.,0.37540057,1,0
436,I finish tasks in less time.,Efficiency,I finish projects in a timely manner.,0.30771637,1,0
437,I finish tasks in less time.,Efficiency,I use smart strategies to complete tasks.,0.3039044,1,0
438,I finish tasks in less time.,Efficiency,I complete my work without unnecessary delay.,0.33671132,1,0
439,I finish tasks in less time.,Efficiency,I make sure to use my time wisely.,0.24859902,1,0
440,I finish tasks in less time.,Efficiency,I aim to be productive in my activities.,0.36969626,1,0
441,I finish tasks in less time.,Efficiency,I achieve results with the least amount of resources.,0.4704017,1,0
442,I finish tasks in less time.,Efficiency,I focus on completing tasks efficiently.,0.46634603,1,0
443,I finish tasks in less time.,Efficiency,I work hard to maximize my productivity.,0.35573792,1,0
444,I finish tasks in less time.,Efficiency,I look for ways to improve my work performance.,0.35924643,1,0
445,I finish tasks in less time.,Efficiency,I try to be effective in all my tasks.,0.3477863,1,0
446,I finish tasks in less time.,Efficiency,I aim to complete tasks with high productivity.,0.44634,1,0
447,I finish tasks in less time.,Efficiency,I ensure my work is done with minimal waste.,0.37408677,1,0
448,I finish tasks in less time.,Efficiency,I get things done quickly and effectively.,0.3953519,1,0
449,I finish tasks in less time.,Efficiency,I strive to be as productive as possible.,0.31378376,1,0
450,I own the outcomes of my work.,Responsibility,I take care of my duties.,0.46712837,1,0
451,I own the outcomes of my work.,Responsibility,I handle my tasks properly.,0.35534638,1,0
452,I own the outcomes of my work.,Responsibility,I am in charge of my actions.,0.56200594,1,0
453,I own the outcomes of my work.,Responsibility,I manage my own obligations.,0.45345497,1,0
454,I own the outcomes of my work.,Responsibility,I fulfill my responsibilities daily.,0.38774276,1,0
455,I own the outcomes of my work.,Responsibility,I oversee my personal commitments.,0.4090863,1,0
456,I own the outcomes of my work.,Responsibility,I am accountable for my choices.,0.590665,1,0
457,I own the outcomes of my work.,Responsibility,I look after my own duties.,0.45698327,1,0
458,I own the outcomes of my work.,Responsibility,I complete my assignments on time.,0.22209443,1,0
459,I own the outcomes of my work.,Responsibility,I ensure my work is done.,0.32622725,1,0
460,I own the outcomes of my work.,Responsibility,I care for my responsibilities well.,0.5155831,1,0
461,I own the outcomes of my work.,Responsibility,I am responsible for my tasks.,0.57354534,1,0
462,I own the outcomes of my work.,Responsibility,I handle my responsibilities with care.,0.5066118,1,0
463,I own the outcomes of my work.,Responsibility,I carry out my duties regularly.,0.30391163,1,0
464,I own the outcomes of my work.,Responsibility,I attend to my obligations carefully.,0.3718923,1,0
465,I own the outcomes of my work.,Responsibility,I am committed to my duties.,0.3662327,1,0
466,I own the outcomes of my work.,Responsibility,I take responsibility for my actions.,0.623267,1,0
467,I own the outcomes of my work.,Responsibility,I ensure I meet my obligations.,0.41846412,1,0
468,I own the outcomes of my work.,Responsibility,I maintain my responsibilities effectively.,0.4323314,1,0
469,I own the outcomes of my work.,Responsibility,I perform my duties reliably.,0.35870728,1,0
470,I own the outcomes of my work.,Responsibility,I am dedicated to my responsibilities.,0.44973147,1,0
471,I own the outcomes of my work.,Responsibility,I attend to my duties each day.,0.34278312,1,0
472,I own the outcomes of my work.,Responsibility,I fulfill my roles reliably.,0.3672793,1,0
473,I own the outcomes of my work.,Responsibility,I manage my responsibilities daily.,0.3598398,1,0
474,I own the outcomes of my work.,Responsibility,I look after my commitments responsibly.,0.47231942,1,0
475,I act according to my values.,Ethics,I consider what is right or wrong in my actions.,0.4892139,1,0
476,I act according to my values.,Ethics,I think about moral principles in my daily life.,0.47995222,1,0
477,I act according to my values.,Ethics,I follow rules that guide good behavior.,0.458888,1,0
478,I act according to my values.,Ethics,I believe in doing the right thing.,0.39830077,1,0
479,I act according to my values.,Ethics,I act according to my values.,0.4763848,1,0
480,I act according to my values.,Ethics,I make decisions based on what is fair.,0.47041804,1,0
481,I act according to my values.,Ethics,I care about how my actions affect others.,0.4168388,1,0
482,I act according to my values.,Ethics,I understand the importance of honesty.,0.33676973,1,0
483,I act according to my values.,Ethics,I respect the difference between right and wrong.,0.44237816,1,0
484,I act according to my values.,Ethics,I adhere to principles of fairness.,0.44533163,1,0
485,I act according to my values.,Ethics,I evaluate my choices using ethical standards.,0.6612873,1,0
486,I act according to my values.,Ethics,I strive to act with integrity.,0.47807634,1,0
487,I act according to my values.,Ethics,I focus on doing what is morally correct.,0.45469755,1,0
488,I act according to my values.,Ethics,I practice making ethical decisions.,0.58450043,1,0
489,I act according to my values.,Ethics,I prioritize honesty in my actions.,0.4643883,1,0
490,I act according to my values.,Ethics,I reflect on the morality of my choices.,0.42462313,1,0
491,I act according to my values.,Ethics,I aim to be fair in my dealings.,0.38849977,1,0
492,I act according to my values.,Ethics,I uphold ethical standards in my life.,0.65034866,1,0
493,I act according to my values.,Ethics,I commit to doing what is just.,0.29259226,1,0
494,I act according to my values.,Ethics,I recognize the significance of ethical behavior.,0.568559,1,0
495,I act according to my values.,Ethics,I apply ethical guidelines to my actions.,0.6317774,1,0
496,I act according to my values.,Ethics,I value truthfulness and honesty.,0.4376654,1,0
497,I act according to my values.,Ethics,I incorporate ethics into my decision-making.,0.6694791,1,0
498,I act according to my values.,Ethics,I consider the ethical impact of my actions.,0.59844404,1,0
499,I act according to my values.,Ethics,I embrace ethical conduct in my everyday life.,0.5722411,1,0
500,I deliver on time consistently.,Reliability,I count on things being dependable.,0.5908206,1,0
501,I deliver on time consistently.,Reliability,I trust the consistency of outcomes.,0.5252401,1,0
502,I deliver on time consistently.,Reliability,I believe in the steadiness of this process.,0.33868247,1,0
503,I deliver on time consistently.,Reliability,I rely on things to work as expected.,0.4138341,1,0
504,I deliver on time consistently.,Reliability,I have faith in the reliability of this service.,0.5367718,1,0
505,I deliver on time consistently.,Reliability,I depend on the stability of the system.,0.39177716,1,0
506,I deliver on time consistently.,Reliability,I expect things to perform reliably.,0.5180607,1,0
507,I deliver on time consistently.,Reliability,I appreciate the dependability of these results.,0.45495287,1,0
508,I deliver on time consistently.,Reliability,I feel confident in the regularity of this pattern.,0.2818968,1,0
509,I deliver on time consistently.,Reliability,I recognize the trustworthiness of the information.,0.36317948,1,0
510,I deliver on time consistently.,Reliability,I see that this method is consistently reliable.,0.3439271,1,0
511,I deliver on time consistently.,Reliability,I appreciate the predictability of this system.,0.34655795,1,0
512,I deliver on time consistently.,Reliability,I know that I can count on these results.,0.20136061,1,0
513,I deliver on time consistently.,Reliability,I trust this process to be reliable.,0.5121932,1,0
514,I deliver on time consistently.,Reliability,I believe this system performs dependably.,0.46319053,1,0
515,I deliver on time consistently.,Reliability,I acknowledge the constant reliability of this tool.,0.45362103,1,0
516,I deliver on time consistently.,Reliability,I expect consistent results from this procedure.,0.29760927,1,0
517,I deliver on time consistently.,Reliability,I find that this service is always reliable.,0.48021114,1,0
518,I deliver on time consistently.,Reliability,I depend on the regular performance of this device.,0.41127938,1,0
519,I deliver on time consistently.,Reliability,I am confident in the trustworthiness of this method.,0.36090285,1,0
520,I deliver on time consistently.,Reliability,I rely on the consistent quality of this product.,0.53887665,1,0
521,I deliver on time consistently.,Reliability,I recognize the reliability of these outcomes.,0.46327,1,0
522,I deliver on time consistently.,Reliability,I appreciate the stable performance of this application.,0.24954034,1,0
523,I deliver on time consistently.,Reliability,I trust in the dependable nature of this equipment.,0.57053626,1,0
524,I deliver on time consistently.,Reliability,I have confidence in the consistent results of this experiment.,0.28615534,1,0
525,I stay calm when waiting.,Patience,I am patient with others.,0.55835724,1,0
526,I stay calm when waiting.,Patience,I wait calmly in difficult situations.,0.5037017,1,0
527,I stay calm when waiting.,Patience,I stay calm when things take time.,0.52158546,1,0
528,I stay calm when waiting.,Patience,I handle delays with patience.,0.6258522,1,0
529,I stay calm when waiting.,Patience,I accept waiting without frustration.,0.5161428,1,0
530,I stay calm when waiting.,Patience,I remain composed in slow progress.,0.44619486,1,0
531,I stay calm when waiting.,Patience,I deal with waiting quietly.,0.4932054,1,0
532,I stay calm when waiting.,Patience,I keep my cool when waiting.,0.5461785,1,0
533,I stay calm when waiting.,Patience,I show patience in challenging times.,0.5832548,1,0
534,I stay calm when waiting.,Patience,I have the ability to wait calmly.,0.44983026,1,0
535,I stay calm when waiting.,Patience,I understand the need for patience.,0.5408704,1,0
536,I stay calm when waiting.,Patience,I manage waiting situations well.,0.4463432,1,0
537,I stay calm when waiting.,Patience,I exercise patience in long lines.,0.5128437,1,0
538,I stay calm when waiting.,Patience,I handle slow situations with ease.,0.3784733,1,0
539,I stay calm when waiting.,Patience,I show patience when things go slowly.,0.63527966,1,0
540,I stay calm when waiting.,Patience,I practice patience in busy places.,0.5415588,1,0
541,I stay calm when waiting.,Patience,I wait with patience in traffic.,0.47214526,1,0
542,I stay calm when waiting.,Patience,I stay patient during long meetings.,0.49885225,1,0
543,I stay calm when waiting.,Patience,I approach delays patiently.,0.3891224,1,0
544,I stay calm when waiting.,Patience,I deal with waiting positively.,0.5380192,1,0
545,I stay calm when waiting.,Patience,I show patience when learning new things.,0.5796912,1,0
546,I stay calm when waiting.,Patience,I stay patient with young children.,0.4801166,1,0
547,I stay calm when waiting.,Patience,I manage my time with patience.,0.5674573,1,0
548,I stay calm when waiting.,Patience,I handle disruptions patiently.,0.47477835,1,0
549,I stay calm when waiting.,Patience,I demonstrate patience in everyday life.,0.54996485,1,0
550,I keep tasks and data in order.,Organising,I arrange things in my life.,0.4578995,1,0
551,I keep tasks and data in order.,Organising,I put things in order.,0.36479923,1,0
552,I keep tasks and data in order.,Organising,I plan my schedule.,0.39528984,1,0
553,I keep tasks and data in order.,Organising,I set up meetings.,0.40860796,1,0
554,I keep tasks and data in order.,Organising,I create a system for my tasks.,0.41662002,1,0
555,I keep tasks and data in order.,Organising,I coordinate events.,0.4732688,1,0
556,I keep tasks and data in order.,Organising,I sort my belongings.,0.38426065,1,0
557,I keep tasks and data in order.,Organising,I plan activities for the week.,0.36614347,1,0
558,I keep tasks and data in order.,Organising,I manage my time effectively.,0.39924076,1,0
559,I keep tasks and data in order.,Organising,I prepare for upcoming events.,0.43721253,1,0
560,I keep tasks and data in order.,Organising,I structure my day.,0.4342663,1,0
561,I keep tasks and data in order.,Organising,I organize my workspace.,0.47212848,1,0
562,I keep tasks and data in order.,Organising,I categorize my files.,0.31066802,1,0
563,I keep tasks and data in order.,Organising,I schedule my appointments.,0.2986949,1,0
564,I keep tasks and data in order.,Organising,I set priorities for my tasks.,0.37132886,1,0
565,I keep tasks and data in order.,Organising,I arrange my travel plans.,0.4222882,1,0
566,I keep tasks and data in order.,Organising,I systematize my daily routines.,0.3494993,1,0
567,I keep tasks and data in order.,Organising,I tidy up my room.,0.32662103,1,0
568,I keep tasks and data in order.,Organising,I plan my daily activities.,0.4106334,1,0
569,I keep tasks and data in order.,Organising,I arrange my thoughts clearly.,0.34308594,1,0
570,I keep tasks and data in order.,Organising,I keep track of my responsibilities.,0.43044367,1,0
571,I keep tasks and data in order.,Organising,I develop a plan for the project.,0.40500534,1,0
572,I keep tasks and data in order.,Organising,I align my goals and tasks.,0.40561324,1,0
573,I keep tasks and data in order.,Organising,I coordinate my team’s efforts.,0.4213636,1,0
574,I keep tasks and data in order.,Organising,I compile information for easy access.,0.24436201,1,0
575,I take steps to avoid accidents.,Safety Orientation,I understand the importance of safety guidelines.,0.54639524,1,0
576,I take steps to avoid accidents.,Safety Orientation,I participate in safety training sessions.,0.6179918,1,0
577,I take steps to avoid accidents.,Safety Orientation,I learn about staying safe at work.,0.46294203,1,0
578,I take steps to avoid accidents.,Safety Orientation,I attend safety briefings regularly.,0.5535557,1,0
579,I take steps to avoid accidents.,Safety Orientation,I focus on safety procedures.,0.64248645,1,0
580,I take steps to avoid accidents.,Safety Orientation,I follow the rules for safety.,0.5059247,1,0
581,I take steps to avoid accidents.,Safety Orientation,I take part in safety workshops.,0.5857634,1,0
582,I take steps to avoid accidents.,Safety Orientation,I understand the safety instructions.,0.5079626,1,0
583,I take steps to avoid accidents.,Safety Orientation,I engage in learning about safety measures.,0.62248117,1,0
584,I take steps to avoid accidents.,Safety Orientation,I pay attention to safety information.,0.58936393,1,0
585,I take steps to avoid accidents.,Safety Orientation,I familiarize myself with safety protocols.,0.5894185,1,0
586,I take steps to avoid accidents.,Safety Orientation,I invest time in safety training.,0.54612255,1,0
587,I take steps to avoid accidents.,Safety Orientation,I listen carefully to safety advice.,0.5586924,1,0
588,I take steps to avoid accidents.,Safety Orientation,I gain knowledge about safety practices.,0.5819886,1,0
589,I take steps to avoid accidents.,Safety Orientation,I prioritize understanding safety guidelines.,0.59256446,1,0
590,I take steps to avoid accidents.,Safety Orientation,I concentrate on learning safety measures.,0.54872924,1,0
591,I take steps to avoid accidents.,Safety Orientation,I focus on understanding safety rules.,0.5350723,1,0
592,I take steps to avoid accidents.,Safety Orientation,I study the safety regulations.,0.50564545,1,0
593,I take steps to avoid accidents.,Safety Orientation,I acquire knowledge about safety procedures.,0.5977362,1,0
594,I take steps to avoid accidents.,Safety Orientation,I participate in understanding safety measures.,0.6575153,1,0
595,I take steps to avoid accidents.,Safety Orientation,I engage with safety training programs.,0.6199318,1,0
596,I take steps to avoid accidents.,Safety Orientation,I absorb information about safety measures.,0.55861044,1,0
597,I take steps to avoid accidents.,Safety Orientation,I learn the necessary safety precautions.,0.50529766,1,0
598,I take steps to avoid accidents.,Safety Orientation,I attend sessions on safety awareness.,0.60393995,1,0
599,I take steps to avoid accidents.,Safety Orientation,I grasp the importance of safety education.,0.61360973,1,0
600,I feel others' emotions.,Empathy,I understand how other people feel.,0.27335113,1,0
601,I feel others' emotions.,Empathy,I can relate to others' emotions.,0.49198166,1,0
602,I feel others' emotions.,Empathy,I feel what others are experiencing.,0.36888045,1,0
603,I feel others' emotions.,Empathy,I connect with people's feelings.,0.53339326,1,0
604,I feel others' emotions.,Empathy,I share in others' emotional experiences.,0.45790312,1,0
605,I feel others' emotions.,Empathy,I recognize others' feelings easily.,0.51603174,1,0
606,I feel others' emotions.,Empathy,I identify with others' emotions.,0.5491818,1,0
607,I feel others' emotions.,Empathy,I sense when someone is upset.,0.5097395,1,0
608,I feel others' emotions.,Empathy,I pick up on people's moods.,0.3509361,1,0
609,I feel others' emotions.,Empathy,I am aware of others' emotional states.,0.45064607,1,0
610,I feel others' emotions.,Empathy,I feel others' happiness and sadness.,0.5304053,1,0
611,I feel others' emotions.,Empathy,I understand others' emotional situations.,0.4980238,1,0
612,I feel others' emotions.,Empathy,I notice when someone is feeling down.,0.4195603,1,0
613,I feel others' emotions.,Empathy,I am sensitive to others' emotions.,0.48388582,1,0
614,I feel others' emotions.,Empathy,I respond to people's feelings.,0.42786866,1,0
615,I feel others' emotions.,Empathy,I can see things from others' perspectives.,0.38021195,1,0
616,I feel others' emotions.,Empathy,I experience others' emotions as my own.,0.5089718,1,0
617,I feel others' emotions.,Empathy,I put myself in others' shoes.,0.39098057,1,0
618,I feel others' emotions.,Empathy,I feel sympathy for others' situations.,0.5416038,1,0
619,I feel others' emotions.,Empathy,I am in tune with others' feelings.,0.44646728,1,0
620,I feel others' emotions.,Empathy,I resonate with others' emotional experiences.,0.5332333,1,0
621,I feel others' emotions.,Empathy,I am conscious of others' emotional needs.,0.49702674,1,0
622,I feel others' emotions.,Empathy,I perceive others' feelings clearly.,0.49922416,1,0
623,I feel others' emotions.,Empathy,I comprehend others' emotional responses.,0.547616,1,0
624,I feel others' emotions.,Empathy,I tune into others' emotional worlds.,0.4737345,1,0
625,I read social cues accurately.,Social Awareness,I understand how people around me feel.,0.30457616,1,0
626,I read social cues accurately.,Social Awareness,I notice the emotions of others in my surroundings.,0.4491703,1,0
627,I read social cues accurately.,Social Awareness,I pay attention to the feelings of people I meet.,0.3948765,1,0
628,I read social cues accurately.,Social Awareness,I am aware of the social dynamics in a group.,0.5084239,1,0
629,I read social cues accurately.,Social Awareness,I sense when someone is uncomfortable in a situation.,0.37277907,1,0
630,I read social cues accurately.,Social Awareness,I recognize different social cues and signals.,0.44261688,1,0
631,I read social cues accurately.,Social Awareness,I appreciate the perspectives of others in conversations.,0.36406648,1,0
632,I read social cues accurately.,Social Awareness,I stay mindful of how my actions affect people.,0.43295282,1,0
633,I read social cues accurately.,Social Awareness,I listen carefully to what others are saying.,0.28947276,1,0
634,I read social cues accurately.,Social Awareness,I respect the customs and traditions of different cultures.,0.19455434,1,0
635,I read social cues accurately.,Social Awareness,I am conscious of the needs of my community.,0.48307988,1,0
636,I read social cues accurately.,Social Awareness,I empathize with others and their experiences.,0.2907985,1,0
637,I read social cues accurately.,Social Awareness,I observe how people interact with each other.,0.5172398,1,0
638,I read social cues accurately.,Social Awareness,I understand the importance of social harmony.,0.49511352,1,0
639,I read social cues accurately.,Social Awareness,I value the input and feedback from others.,0.23288529,1,0
640,I read social cues accurately.,Social Awareness,I notice when someone needs help or support.,0.46814343,1,0
641,I read social cues accurately.,Social Awareness,I respond appropriately to social situations.,0.46709064,1,0
642,I read social cues accurately.,Social Awareness,I am attentive to changes in group dynamics.,0.3818889,1,0
643,I read social cues accurately.,Social Awareness,I engage with others by considering their points of view.,0.47008955,1,0
644,I read social cues accurately.,Social Awareness,I am sensitive to the moods of people around me.,0.28843123,1,0
645,I read social cues accurately.,Social Awareness,I recognize the importance of social relationships.,0.5496563,1,0
646,I read social cues accurately.,Social Awareness,I participate in discussions with respect for others.,0.41943288,1,0
647,I read social cues accurately.,Social Awareness,I am thoughtful about my role in social settings.,0.53681904,1,0
648,I read social cues accurately.,Social Awareness,I relate to others by understanding their feelings.,0.45787996,1,0
649,I read social cues accurately.,Social Awareness,I remain aware of the societal context around me.,0.50663495,1,0
650,I cooperate toward shared goals.,Collaboration,I work together with others on projects.,0.643867,1,0
651,I cooperate toward shared goals.,Collaboration,I team up with my colleagues.,0.6308248,1,0
652,I cooperate toward shared goals.,Collaboration,I join forces with my classmates for assignments.,0.5554359,1,0
653,I cooperate toward shared goals.,Collaboration,I participate in group activities.,0.48592192,1,0
654,I cooperate toward shared goals.,Collaboration,I share ideas with my teammates.,0.58605915,1,0
655,I cooperate toward shared goals.,Collaboration,I cooperate with my friends on tasks.,0.5748147,1,0
656,I cooperate toward shared goals.,Collaboration,I engage in joint efforts with my peers.,0.6312963,1,0
657,I cooperate toward shared goals.,Collaboration,I contribute to group work.,0.5816058,1,0
658,I cooperate toward shared goals.,Collaboration,I collaborate with my coworkers on tasks.,0.61289924,1,0
659,I cooperate toward shared goals.,Collaboration,I take part in team discussions.,0.51498497,1,0
660,I cooperate toward shared goals.,Collaboration,I help others achieve common goals.,0.5309651,1,0
